panel,model,condition_id,horizon,endpoint,cumulative
A,mlp_koopman,A_h00_p00,1,0.0015954259895531225,0.0015954259895531225
A,mlp_koopman,A_h00_p00,2,0.009181681421293534,0.006589713871264382
A,mlp_koopman,A_h00_p00,3,0.01039979341051136,0.008062347896065677
A,mlp_koopman,A_h00_p00,4,0.011768116182465867,0.009130894250778494
A,mlp_koopman,A_h00_p00,5,0.013754964363463778,0.010224401830090183
A,mlp_koopman,A_h00_p00,6,0.013250313935495407,0.010787823253595858
A,mlp_koopman,A_h00_p00,7,0.010329137610246956,0.010723498010553136
A,mlp_koopman,A_h00_p00,8,0.009659325989937021,0.010596322744567052
A,mlp_koopman,A_h00_p00,9,0.01122760182110125,0.010668309708401838
A,mlp_koopman,A_h00_p00,10,0.012528805798978158,0.010868700304350732
A,mlp_koopman,A_h00_p00,11,0.011529032972693821,0.010930379118199957
A,mlp_koopman,A_h00_p00,12,0.008436709906882039,0.010744700780680525
A,mlp_koopman,A_h00_p00,13,0.008595267683125386,0.010594852759498395
A,mlp_koopman,A_h00_p00,14,0.009403021859354167,0.01051420326792135
A,mlp_koopman,A_h00_p00,15,0.008168867013443172,0.010374356119174085
A,mlp_koopman,A_h00_p00,16,0.010613985897599395,0.010389494904548147
A,mlp_koopman,A_h00_p00,17,0.010611417691576462,0.010402680241087228
A,mlp_koopman,A_h00_p00,18,0.012456063656613245,0.010527269819085241
A,mlp_koopman,A_h00_p00,19,0.011503271019063442,0.01058088301291492
A,mlp_koopman,A_h00_p00,20,0.012186843169096575,0.010666924973381491
A,mlp_koopman,A_h00_p00,21,0.007799513064171464,0.010548071752905218
A,mlp_koopman,A_h00_p00,22,0.009057853936404585,0.010484930505961262
A,mlp_koopman,A_h00_p00,23,0.006994191705714903,0.010357651251595747
A,mlp_koopman,A_h00_p00,24,0.006925906100721106,0.010237654725445978
A,mlp_koopman,A_h00_p00,25,0.00973797182854631,0.010218136577658913
A,mlp_koopman,A_h00_p00,26,0.013724737342916396,0.010374944472741711
A,mlp_koopman,A_h00_p00,27,0.015862042099931764,0.010628805501864099
A,mlp_koopman,A_h00_p00,28,0.01764939954574581,0.01095727412828981
A,mlp_koopman,A_h00_p00,29,0.01633758588886783,0.011185965174557269
A,mlp_koopman,A_h00_p00,30,0.016267462436379745,0.011391925537889923
A,mlp_koopman,A_h00_p00,31,0.017101100083533636,0.011619958702791382
A,mlp_koopman,A_h00_p00,32,0.017557090500626822,0.011850603986109596
A,mlp_koopman,A_h00_p00,33,0.015480601176452106,0.011976779411697811
A,mlp_koopman,A_h00_p00,34,0.015587422858836639,0.0120983650316207
A,mlp_koopman,A_h00_p00,35,0.01700914384768337,0.012265987600253256
A,mlp_koopman,A_h00_p00,36,0.02014560098838592,0.012551838126255637
A,mlp_koopman,A_h00_p00,37,0.02237880833173601,0.012916114086849203
A,mlp_koopman,A_h00_p00,38,0.023038844430535964,0.01328171523835158
A,mlp_koopman,A_h00_p00,39,0.019176699710148352,0.013465146156227637
