panel,condition_id,history,trajectory,seed,window_index,origin,profile,profile_name,clip_q1,clip_q2,clip_q3,history_sha256,past_actions_sha256,branch_buffer_sha256,requested_actions_sha256,applied_actions_sha256,future_noise_sha256,truth_sha256,past_replay_max_abs_delta,base_future_max_abs_delta
A,A_h01_p03,1,fresh_001,2026092109,440,459,3,q2_plus,0,11,0,c66950ea62bced163f59ef4f66ff347eb59e066ec3c194f88716eaae644c6e93,36d7ba206ec8713b73ab630c0ff480c39fc2164a45b778559c958bb0f34e89a6,110cbfa99bd1377e36d2ee78db2e0564a7b53e8941f0a3ebb955293086d441b3,ee860ff1d7a90c0bc8479c43ec22618741b7bae824c64478127d7564824fc403,e38a3f9ee172126891848f6743d174d2c0376f33a601384e12dc7c99f730a8f5,94e4ee672e2bc12bac3375fe2491eb6bdcbabb3b601a0451f8ecd965a5ee2999,9022ff0d152522b1f115b85224bfb10af5a29bac314b2f7032729099b296f55e,0.0,
A,A_h01_p04,1,fresh_001,2026092109,440,459,4,q2_minus,0,11,0,c66950ea62bced163f59ef4f66ff347eb59e066ec3c194f88716eaae644c6e93,36d7ba206ec8713b73ab630c0ff480c39fc2164a45b778559c958bb0f34e89a6,110cbfa99bd1377e36d2ee78db2e0564a7b53e8941f0a3ebb955293086d441b3,ee09d919559ce5fa2d656cbfa193df47cbd86908164e41dd5de5b4357dd77844,f6cd0fe3a729880227df69da15e60e15abc67edf192e885e4ab6958e9bf638b8,94e4ee672e2bc12bac3375fe2491eb6bdcbabb3b601a0451f8ecd965a5ee2999,5d39bee5d3891ac0439c10eb30b41129a5fc037450d6631fb62e9c1e0ee17c0a,0.0,
A,A_h01_p05,1,fresh_001,2026092109,440,459,5,q3_plus,0,0,10,c66950ea62bced163f59ef4f66ff347eb59e066ec3c194f88716eaae644c6e93,36d7ba206ec8713b73ab630c0ff480c39fc2164a45b778559c958bb0f34e89a6,110cbfa99bd1377e36d2ee78db2e0564a7b53e8941f0a3ebb955293086d441b3,5f97238d26d1cc92354eabd620c3bf0347c7880fe8af16650554738a2875b876,0d4ce83a0bb5bdbed0080a5b58f0fa57cf0ff1840fac8252a1dadd05a4299f64,94e4ee672e2bc12bac3375fe2491eb6bdcbabb3b601a0451f8ecd965a5ee2999,42f1d43ea72be050408a437751951d6e8c9f2e26c807d5f5899234d462fedae6,0.0,
A,A_h01_p06,1,fresh_001,2026092109,440,459,6,q3_minus,0,0,12,c66950ea62bced163f59ef4f66ff347eb59e066ec3c194f88716eaae644c6e93,36d7ba206ec8713b73ab630c0ff480c39fc2164a45b778559c958bb0f34e89a6,110cbfa99bd1377e36d2ee78db2e0564a7b53e8941f0a3ebb955293086d441b3,6614abe1a5d7061f77922145d36f0f11ce730a7b2b847094595f360274e171ad,5357368974a67420efb7597504321f38f2eb00b035bebe702635857d070d7044,94e4ee672e2bc12bac3375fe2491eb6bdcbabb3b601a0451f8ecd965a5ee2999,585f19af7732bee118b6f2e3f7cc67b3e7a35e130906f0e681c2296cc0431e84,0.0,
A,A_h02_p00,2,fresh_002,2026093118,440,459,0,base,0,0,0,a0afd31537ce75b16c281176cd663a3ff7721dfd477200f4675ea7e400b70a05,c064591c55d5a3e6932a053800b0cbaf25560fa0fb3183395ae237c41701799e,74a359f95c2756691cd1b2e48b9012eec238c3836b9f1019299b4bc99f8f0770,2739d9dcbf617b26700edc97c03359fe7e24e0cc640e876d9bc8f6e3d3b1087b,2739d9dcbf617b26700edc97c03359fe7e24e0cc640e876d9bc8f6e3d3b1087b,0a76813ef335d3310a55ebca0665d6398cc89959e542970d0f766260191f3c4d,b22f370ccbd05fd8971312dd2d58cf4908fcbc878af8913e501667b4b5a38fac,0.0,0.0
A,A_h02_p01,2,fresh_002,2026093118,440,459,1,q1_plus,14,0,0,a0afd31537ce75b16c281176cd663a3ff7721dfd477200f4675ea7e400b70a05,c064591c55d5a3e6932a053800b0cbaf25560fa0fb3183395ae237c41701799e,74a359f95c2756691cd1b2e48b9012eec238c3836b9f1019299b4bc99f8f0770,e1377a3a691fa99c11a6f6fbb2a404466da2d0230864db05dc6abecd12bfd23a,1e24ee1b8ba86aae36f4bcb4a99fcca7780fcca7e76429e8e52b3e559a8d1fcd,0a76813ef335d3310a55ebca0665d6398cc89959e542970d0f766260191f3c4d,f69212329fa5b4a87cfc57acc28bb8039dc7d8b10a741dd045c2b1ab2832c89a,0.0,
A,A_h02_p02,2,fresh_002,2026093118,440,459,2,q1_minus,8,0,0,a0afd31537ce75b16c281176cd663a3ff7721dfd477200f4675ea7e400b70a05,c064591c55d5a3e6932a053800b0cbaf25560fa0fb3183395ae237c41701799e,74a359f95c2756691cd1b2e48b9012eec238c3836b9f1019299b4bc99f8f0770,b2c36ae2fd428b0db7fcdd41cc18a6cb695829862a61d4215e47c4005a5e13e1,2ee59158dcd4df7c5aa422bb6816f7d924f663cfcb663987150cb059d1918fdb,0a76813ef335d3310a55ebca0665d6398cc89959e542970d0f766260191f3c4d,a9b0d1fde62bff2286d36d0f017f879ae2f4753c973316fbca713f6592ec171b,0.0,
A,A_h02_p03,2,fresh_002,2026093118,440,459,3,q2_plus,0,15,0,a0afd31537ce75b16c281176cd663a3ff7721dfd477200f4675ea7e400b70a05,c064591c55d5a3e6932a053800b0cbaf25560fa0fb3183395ae237c41701799e,74a359f95c2756691cd1b2e48b9012eec238c3836b9f1019299b4bc99f8f0770,7842b9a2495be70b854e020ae4518bbe304326a342566e93ec3d55cc1bbc686a,812f13991addca6aa49e8f1d849965a17a0ef6ebc61fd008b699c1f7d4ac19c7,0a76813ef335d3310a55ebca0665d6398cc89959e542970d0f766260191f3c4d,f20c526a6bbce91f42509a87d96bf212383f828cc230217934d9bff0890f63a2,0.0,
A,A_h02_p04,2,fresh_002,2026093118,440,459,4,q2_minus,0,10,0,a0afd31537ce75b16c281176cd663a3ff7721dfd477200f4675ea7e400b70a05,c064591c55d5a3e6932a053800b0cbaf25560fa0fb3183395ae237c41701799e,74a359f95c2756691cd1b2e48b9012eec238c3836b9f1019299b4bc99f8f0770,a7200696ac4bde8c307d489437e73b22e1c5c6fa38ccdddc3c037c4527fb203b,097df3767f1cf2caa4910e3322b8910c63d756e3bd0836f78e5138427caa0302,0a76813ef335d3310a55ebca0665d6398cc89959e542970d0f766260191f3c4d,659a4415f85458fb09d6162f8c6e64c2068ac4d244b30765cd4b66aa31700a20,0.0,
A,A_h02_p05,2,fresh_002,2026093118,440,459,5,q3_plus,0,0,9,a0afd31537ce75b16c281176cd663a3ff7721dfd477200f4675ea7e400b70a05,c064591c55d5a3e6932a053800b0cbaf25560fa0fb3183395ae237c41701799e,74a359f95c2756691cd1b2e48b9012eec238c3836b9f1019299b4bc99f8f0770,7b30988abeb60503ff559cf3bf740d1f77bb943f9a562e4a3261a3125efa2fe3,7c74b92f65e3f5d65ee49f355ccafa8b299e6bd46bdf780c7b382b35060ebb0d,0a76813ef335d3310a55ebca0665d6398cc89959e542970d0f766260191f3c4d,b2a13a365bf21f5d811fe015f0016f10de8dd7fd52d145bae2b4e5f28ae53c3c,0.0,
A,A_h02_p06,2,fresh_002,2026093118,440,459,6,q3_minus,0,0,9,a0afd31537ce75b16c281176cd663a3ff7721dfd477200f4675ea7e400b70a05,c064591c55d5a3e6932a053800b0cbaf25560fa0fb3183395ae237c41701799e,74a359f95c2756691cd1b2e48b9012eec238c3836b9f1019299b4bc99f8f0770,bfd049c30a036a669da25c76c2c9d660ae40d2731e06529eafc9aa5d43450005,a8b61986213af763a0855871476b6fbd3277e65c4eccef68c4c33228eff8831f,0a76813ef335d3310a55ebca0665d6398cc89959e542970d0f766260191f3c4d,8ee006f2acd462bb961ee435fd10114f5016d81b797eac0e6d972506afe9ef15,0.0,
