panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
A,mlp_koopman,history_00,7,1,0.0016140335396725577,0.0015090405994923558,0.001711890027592478,0.0016140335396725577,0.0015090405994923558,0.001711890027592478
A,mlp_koopman,history_00,7,2,0.0092353620210085,0.009049675941812158,0.009475263643120506,0.006629560818874304,0.006495550923403295,0.006808494274551894
A,mlp_koopman,history_00,7,3,0.010513902553675042,0.009628494270484149,0.01168944173705727,0.008134786203730699,0.0076831474781671105,0.00874364982329592
A,mlp_koopman,history_00,7,4,0.011971772595703301,0.010337245031640095,0.014151270154633152,0.009248020398205183,0.008425421359759473,0.010363550111890704
A,mlp_koopman,history_00,7,5,0.013999311584212127,0.012031758881606739,0.017036613894268787,0.010376672325725972,0.009259742136183786,0.011998824081292894
A,mlp_koopman,history_00,7,6,0.013748296275093457,0.011541208351347258,0.017386140829987292,0.01101318368471924,0.00967741022822648,0.013052054689008564
A,mlp_koopman,history_00,7,7,0.011069780973267922,0.009676022193099081,0.013975613828564831,0.011024961449480881,0.00978786280550433,0.01318795213992353
A,mlp_koopman,history_00,7,8,0.010600622065025782,0.008923232953289251,0.013470163941155525,0.010977573970843158,0.00995535751416149,0.013223557993766285
A,mlp_koopman,history_00,7,9,0.012469501333672669,0.01044259615415864,0.015376733663282632,0.011167434103462711,0.0103672697483328,0.0133513522007708
A,mlp_koopman,history_00,7,10,0.013893816408737294,0.009885595000272383,0.01738202675915071,0.01148879692009305,0.010435950965356204,0.013618766675147156
A,mlp_koopman,history_00,7,11,0.01329910409107432,0.010317328521084424,0.016429119519352386,0.011673661800187916,0.010425222881093252,0.013840218567660316
A,mlp_koopman,history_00,7,12,0.010736632651542706,0.00798640408184716,0.014371421972306836,0.01160692692037979,0.010244187959861753,0.013885261729356559
A,mlp_koopman,history_00,7,13,0.010317867458701101,0.007870008776040062,0.014923093396672362,0.011517031610281035,0.010081428781594348,0.013967832924915548
A,mlp_koopman,history_00,7,14,0.011166609405664437,0.009101541839813076,0.015617502408186186,0.011494559963978261,0.010014616979625808,0.014092072283755641
A,mlp_koopman,history_00,7,15,0.010513909361183547,0.008168867013443172,0.01649178880358136,0.01143838328311457,0.009902777159757091,0.014264618502785709
A,mlp_koopman,history_00,7,16,0.012299301730467232,0.009919356190669084,0.015426222778021454,0.011500797660596761,0.010110474858992137,0.014339975733607855
A,mlp_koopman,history_00,7,17,0.010613711436220277,0.00894846469734736,0.012505906564589383,0.011463744379365728,0.010266865404532118,0.014081447873106116
A,mlp_koopman,history_00,7,18,0.011386813916431421,0.0074024658934165825,0.013894894925953305,0.011480274921800693,0.010425510027466561,0.013795487311183153
A,mlp_koopman,history_00,7,19,0.011044091689765589,0.006270872543671312,0.01603082495869423,0.01147832658068886,0.010487114119452953,0.013504389744806855
A,mlp_koopman,history_00,7,20,0.012954467924494378,0.009154102993183968,0.023267777016621357,0.011588970169546743,0.010542884008541623,0.013350624128177281
