panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
B,lstm_koopman,all_conditions,84,20,0.02574923270839589,0.006450338643314984,0.1252591160764355,0.01827867876055375,0.008421188794994762,0.05633667307112141
B,lstm_koopman,all_conditions,84,30,0.052639325515300005,0.009453893592058523,0.3131909850014236,0.028636226446946484,0.010054164668871924,0.13488417495666222
B,lstm_koopman,all_conditions,84,50,0.15707865827153641,0.015274903640141725,0.898894497921921,0.07273913191829055,0.01339512595475363,0.413712991492565
B,lstm_koopman,all_conditions,84,60,0.2599607839202106,0.02584260085946218,1.3361382681499647,0.11139774890441274,0.017051823687742985,0.5996206391182398
B,lstm_koopman,all_conditions,84,100,0.791371992186105,0.05166270878585819,2.856408972289725,0.35038239901314244,0.031003980191621306,1.4286523257413926
A,hakan_koopman,all_conditions,84,20,0.03016547088198889,0.005516336612552697,0.19953797182319388,0.019640687066548052,0.010545561228170413,0.09216519829696113
A,hakan_koopman,all_conditions,84,30,0.05768233771802745,0.009573473517615772,0.43755069873429336,0.03088420956085323,0.010431316122984606,0.20536161932063293
A,hakan_koopman,all_conditions,84,50,0.15729589454388254,0.011635966196231584,1.1065359854762904,0.0751431559740397,0.01650464815328219,0.5437726458162688
A,hakan_koopman,all_conditions,84,60,0.23240325764060957,0.016095945821386907,1.4069603455265514,0.10736493443985122,0.01981246714446616,0.7125700085260488
A,hakan_koopman,all_conditions,84,100,0.7292621737495862,0.03777171034917279,2.3863970337894043,0.32292510099647176,0.03307815235922966,1.2197760390469863
B,hakan_koopman,all_conditions,84,20,0.027300627137398045,0.008996525396443158,0.12391771408085564,0.01931307054411583,0.010526271009662452,0.059956302695920845
B,hakan_koopman,all_conditions,84,30,0.0540414838326252,0.009813536717553525,0.31624648538535066,0.029668052980791042,0.011744867580343005,0.13453987291136496
B,hakan_koopman,all_conditions,84,50,0.15967734485012994,0.014045410007616423,0.8975385668780501,0.07429183438936063,0.016020398170596844,0.413257739303353
B,hakan_koopman,all_conditions,84,60,0.2639063347006533,0.02101878516380852,1.3322256992737382,0.11297662501957245,0.020531062846335938,0.5982643460738656
B,hakan_koopman,all_conditions,84,100,0.7930450184770205,0.05682529945543938,2.8440184976547656,0.35120508276304363,0.035351383675234556,1.4220744388346136
A,dlm_koopman,all_conditions,84,20,0.005402047067401141,0.0010545445429522742,0.027733926883910433,0.004799595066576729,0.0033239700708290764,0.012235494254166422
A,dlm_koopman,all_conditions,84,30,0.006724987163378829,0.0021132534492252406,0.06307605743762508,0.005312640450323873,0.0033826626937484647,0.028573967119403933
A,dlm_koopman,all_conditions,84,50,0.014252774031303202,0.002774204258090534,0.15315423037642567,0.008243312292986974,0.0035401048699165096,0.07892083503573454
A,dlm_koopman,all_conditions,84,60,0.020744966371490266,0.002556765240685729,0.17825392704360563,0.010528241237691839,0.0035382447088965056,0.09659578238302338
