panel,model,group,conditions,horizon,endpoint_mean,endpoint_min,endpoint_max,cumulative_mean,cumulative_min,cumulative_max
A,mlp_koopman,all_conditions,84,25,0.04003323929550046,0.005678862585228187,0.2845709622586544,0.02301918554803837,0.008152600596670286,0.13261352818355762
A,mlp_koopman,all_conditions,84,26,0.04246452285490876,0.006040894675216367,0.30658897668974683,0.02416183170785416,0.00838356218508753,0.1432662256967167
A,mlp_koopman,all_conditions,84,27,0.045555467751141124,0.004771689249262495,0.3309870275583355,0.025377819345268463,0.008824279491340395,0.15434544102636802
A,mlp_koopman,all_conditions,84,28,0.048633737994779616,0.00453202544348019,0.354336788514714,0.026658638643387456,0.009289897367161674,0.16569792536492967
A,mlp_koopman,all_conditions,84,29,0.05180914397894644,0.005374948508832366,0.37547874562556155,0.02800354420378622,0.009718224286152738,0.17711741260446567
A,mlp_koopman,all_conditions,84,30,0.05598078736365305,0.005935317622578931,0.4085187722601307,0.02946552543802574,0.009715591363144144,0.18944078625190866
A,mlp_koopman,all_conditions,84,31,0.060699242235814944,0.007325399130410868,0.44990305053323454,0.03106975939662316,0.009819158608975085,0.2031245525852224
A,mlp_koopman,all_conditions,84,32,0.0648940348079085,0.008509192647619792,0.4815440617344873,0.03276022303921984,0.010021779326188938,0.21729385224442457
A,mlp_koopman,all_conditions,84,33,0.06858824832000911,0.0061346158357013895,0.5066714578290212,0.03449263187911383,0.010164616668569763,0.23144131721189778
A,mlp_koopman,all_conditions,84,34,0.07272429274436605,0.006611488754839866,0.537061522351167,0.036285950606427045,0.01025890244043721,0.2459126356172665
A,mlp_koopman,all_conditions,84,35,0.07659656929488759,0.0087493979415408,0.5682993997201532,0.038119033733797866,0.010291104408734396,0.26071588454178146
A,mlp_koopman,all_conditions,84,36,0.08056422681850776,0.00823606863676619,0.6013500981322161,0.04000252423702494,0.010498104273978482,0.275916099181826
A,mlp_koopman,all_conditions,84,37,0.08448371193421335,0.006123325345081504,0.6411009111842086,0.0419319799402063,0.010763912661997752,0.291857025098646
A,mlp_koopman,all_conditions,84,38,0.08870460249467378,0.00907049852710227,0.6766886876542269,0.04392331616219757,0.01100018856481294,0.308203065948332
A,mlp_koopman,all_conditions,84,39,0.09365796864211955,0.009834639680461372,0.7071591450248669,0.046001505043230015,0.011094959526706598,0.3246165782087551
A,mlp_koopman,all_conditions,84,40,0.09924445218010353,0.011680800209705963,0.7413244964081775,0.04817916624906308,0.011156012443510473,0.3412925065118377
A,mlp_koopman,all_conditions,84,41,0.1043594285001966,0.013718937152180664,0.7718325541401868,0.050422909577268325,0.01128819650002258,0.35800764713442734
A,mlp_koopman,all_conditions,84,42,0.1096567943231414,0.013062033324026532,0.8022361909532986,0.052736427487293805,0.011348801047943675,0.37475488489942244
